show_name,show_theater,show_type,num_of_attendance,capacity_filled,revenue,percentage_of_poss_profit,num_of_performances
Fiddler On The Roof 2015,Broadway,Musical,394590,0.762051282051282,34433246,0.5848717948717949,271
Finding Neverland,Lunt-Fontanne,Musical,713876,0.8088,63493938,0.5869333333333333,557
Finian'S Rainbow,St. James,Musical,132659,0.6866666666666668,7888826,0.44799999999999995,92
First Date,Longacre,Musical,159061,0.7146153846153847,10018641,0.4469230769230769,174
Flower Drum Song,Virginia,Musical,173290,0.7348,11264444,0.5396,169
Follies,Belasco,Musical,128928,0.8773684210526317,7080718,0.7757894736842106,117
Follies '11,Marquis,Musical,216360,0.722,19566692,0.5379999999999999,152
Fool For Love,Friedman,Play,52876,0.8261538461538461,3721858,0.4492307692307692,75
Fool Moon '98,Brooks Atkinson,Special,44657,0.7685714285714286,1686553,0.6228571428571429,49
Footloose,Richard Rodgers,Musical,780117,0.7956043956043957,37134917,0.6167032967032967,709
Forever Tango '04,Shubert,Musical,47838,0.272,2477612,0.19533333333333336,114
Forever Tango '13,Walter Kerr,Special,49419,0.6659999999999999,3041368,0.345,73
Forever Tango '97,Walter Kerr,Special,350842,0.7089655172413794,13872413,0.47913793103448277,458
Forever Tango '97,Marquis,Special,350842,0.7089655172413794,13872413,0.47913793103448277,458
Fortune'S Fool,Music Box,Play,98735,0.634,4318899,0.4305,127
Fosse,Broadhurst,Musical,1121921,0.8835714285714286,68997054,0.7620714285714285,1093
Frankie And Johnny In The Claire De Lune,Belasco,Play,195423,0.7296969696969697,11458493,0.7051515151515152,243
Frankie Valli And The Four Seasons On Broadway,Broadway,Special,11401,0.93,1404082,1,7
Frost/Nixon,Jacobs,Play,141445,0.8266666666666667,9395227,0.67,137
Frozen,Circle In The Square,Play,55085,0.6288235294117647,2252052,0.33294117647058824,128
Fully Committed,Lyceum,Play,93227,0.7305555555555556,7068657,0.49833333333333335,112
Fun Home,Circle In The Square,Musical,394799,0.9291780821917809,39767095,0.7016438356164383,551
Garden District,Circle In The Square,Play,23007,0.63,510674,0.4228571428571428,31
Gem Of The Ocean,Walter Kerr,Play,54245,0.6645454545454546,2577530,0.4390909090909091,72
George Gershwin Alone,Helen Hayes,Play,27495,0.4114285714285715,1055351,0.23785714285714285,96
Getting And Spending,Helen Hayes,Play,14353,0.38375,484281,0.36875,41
Ghetto Klown,Lyceum,Play,84440,0.7655,6179540,0.584,95
Ghost,Lunt-Fontanne,Musical,186851,0.7247826086956521,13339472,0.4669565217391305,136
Gigi,Neil Simon,Musical,96860,0.6714285714285714,7028015,0.40142857142857147,86
Glengarry Glen Ross '05,Royale,Play,135411,0.7671428571428571,8532405,0.6185714285714285,137
Glengarry Glen Ross '05,Jacobs,Play,135411,0.7671428571428571,8532405,0.6185714285714285,137
Glory Days,Circle In The Square,Musical,3719,0.28,111283,0.09666666666666666,1
God Of Carnage,Jacobs,Play,414191,0.808360655737705,37345584,0.7,452
Godspell,Circle In The Square,Musical,160892,0.7454054054054055,11106035,0.39972972972972975,264
Golda'S Balcony,Helen Hayes,Play,180557,0.6043076923076923,9309657,0.33092307692307693,493
Golden Boy,Belasco,Play,54318,0.6645454545454546,3106647,0.3745454545454545,53
Golden Child,Longacre,Play,34346,0.396,828439,0.23399999999999999,69
Good People,Friedman,Play,81075,0.975,5925428,0.631875,101
Good Vibrations,Eugene O'Neill,Musical,90770,0.5833333333333334,5511066,0.42611111111111116,94
Gore Vidal'S The Best Man,Virginia,Play,112255,0.6558823529411765,5998667,0.5611764705882353,121
Gore Vidal'S The Best Man '12,Schoenfeld,Play,185919,0.81,18329754,0.6285185185185186,185
Grace,Cort,Play,85684,0.6205882352941177,6479055,0.43588235294117644,108
Grease,Eugene O'Neill,Musical,771640,0.8185981308411214,36713376,0.21869158878504674,858
Grease 07,Brooks Atkinson,Musical,551325,0.879054054054054,47473854,0.8178378378378379,554
Grey Gardens,Walter Kerr,Musical,234344,0.7497674418604652,17542980,0.6037209302325581,307
Guys And Dolls '09,Nederlander,Musical,152117,0.8447368421052631,10220561,0.5521052631578948,121
Gypsy '03,Shubert,Musical,549037,0.7849180327868852,37762532,0.6539344262295081,451
